Articles reviewed for each chapter are included here. ,,,
"Please note the following: 1) The total number of articles reviewed for the book exceeds those below; these are articles that were relevant for specific chapter queries. 2) Article links and titles often change after initial publication, especially for ""live articles"" or ""updates"". As such, you may find that searching for the article title along with the date and outlet will yield the best results. 3) Titles have been shifted to lower case and ""."" (periods) have been removed. 4) Some articles were reviewed or used in multiple chapters.  ",,,
,,,
"Full, partial, or modified article title when it was accessed",Date originally published or modified,Online news outlet,Chapter where article was reviewed or referenced
a gaza ‘cease-fire’ or a ‘pause’? even world leaders are confused,11/8/2023,New York Times,2
a gaza cease-fire by ramadan? what to know about the holy month,3/7/2024,Washington Post,2
a gaza city neighborhood is left in ruins after israeli troops withdraw,7/12/2024,New York Times,2
"a gaza doctor has died in israeli custody, palestinian groups say",5/3/2024,New York Times,2
"a gaza doctor’s fear: displacement, detention or death",2/24/2024,Washington Post,2
a gaza family uprooted by war and grieving their losses shares a somber ramadan meal in a tent,3/12/2024,AP News,2
a gaza truce aids both sides until the calculus changes,11/28/2023,New York Times,2
"a gazan family, a premature newborn, a painful choice to stay",11/21/2023,Washington Post,2
a gazan health official says scores are dead as israel carries out intense bombardments,6/8/2024,New York Times,2
a gazan professor wrote a poem ‘if i must die’ he was killed in a bombing,12/14/2023,Washington Post,2
a general’s account of oct 7 battle for be’eri stirs debate in israel,12/27/2023,New York Times,2
a german prince is on trial for an alleged coup plot here’s what to know,5/21/2024,Washington Post,2
a ghostly life for those trickling back to villages attacked on oct 7,10/6/2024,New York Times,2
a glimpse inside a devastated gaza,1/9/2024,New York Times,2
a global day of protests draws thousands in washington and other cities in pro-palestinian marches,1/13/2024,AP News,2
a global tech outage,7/19/2024,New York Times,2
a gop congressman’s case for helping ukraine,4/12/2024,Washington Post,2
a government official says canada will restore funding to embattled un agency in gaza,3/6/2024,AP News,2
a hamas delegation was in cairo for cease-fire talks,5/4/2024,New York Times,2
a hamas leader says not all of the israeli hostages are being held by his group,10/19/2023,New York Times,2
a hamas leader visits egypt for talks on a possible truce,12/20/2023,New York Times,2
"a hard-line israeli minister visits a contested holy site, and other news",7/18/2024,New York Times,2
"a hezbollah barrage ignites fires in northern israel, and other news",6/3/2024,New York Times,2
a high-stakes inflation report for washington and wall street,11/14/2023,New York Times,2
a high-stakes report looms over biden on whether israel violated international law,5/8/2024,CNN,2
a historian who lunched with biden talks the meaning of jan 6,1/5/2024,Washington Post,2
a holiday pep talk,11/23/2023,New York Times,2
a holocaust survivor gets a vogue cover,6/27/2024,New York Times,2
a holocaust survivor in israel recalls that trauma through the lens of oct 7 attack,1/27/2024,AP News,2
a holocaust survivor will mark that history differently after the horrors of oct 7,5/5/2024,AP News,2
a hostage deal is a poison pill for israel,9/3/2024,New York Times,2
a hostage rescue in gaza,2/12/2024,New York Times,2
a house swing seat is at stake in oregon’s democratic primary,5/21/2024,Washington Post,2
"a human rights watch report finds that hamas committed numerous war crimes, and other news",7/17/2024,New York Times,2
a hundred years’ war for our time,10/7/2024,New York Times,2
a jewish chorus blowing on the shofar marks 155 days of captivity for the hostages in gaza,3/10/2024,AP News,2
a jewish teen’s diary recounts pain and resilience in a nazi ghetto,7/2/2024,New York Times,2
a jewish veteran from london prepares to commemorate the 80th anniversary of the d-day landings,5/30/2024,AP News,2
a key point of contention is whether a cease-fire would be permanent,2/7/2024,New York Times,2
a key question behind israeli attack on hezbollah devices: why now?,9/18/2024,Washington Post,2
a kidnapped israeli activist and two sons grappling with a war in her name,11/7/2023,Washington Post,2
a leading free expression group is roiled by dissent over gaza,5/15/2024,New York Times,2
a lebanese nun’s request to pray for hezbollah fighters highlights schisms over the group’s weapons,3/29/2024,AP News,2
"a lebanese photojournalist, wounded in israeli strike, carries olympic torch to honor journalists",7/21/2024,AP News,2
"a longer cease-fire would allow for the release of more hostages, prisoners and detainees",11/27/2023,New York Times,2
"a look at netanyahu’s claims about israel, hamas and iran during his speech to congress",7/24/2024,AP News,2
a look at the internal rifts over biden’s handling of gaza-israel: four interesting points in our colleagues’ deeply reported piece,11/27/2023,Washington Post,2
a look at the protests of the war in gaza that have emerged at us colleges,4/30/2024,AP News,2
a look at the three previous un cease-fire resolutions the us vetoed,3/22/2024,New York Times,2
a look at what didn’t happen this week,10/27/2023,AP News,2
a look inside the post’s decision to publish photos from mass shootings,11/16/2023,Washington Post,2
a looming ground invasion in gaza,10/13/2023,New York Times,2
a looming invasion in gaza,10/13/2023,New York Times,2
a major economic challenge,11/20/2023,New York Times,2
a major immigrant rights group posted about gaza its backers revolted,11/22/2023,Washington Post,2
"a man believed to be a hostage in gaza was killed on oct 7, his kibbutz said",1/5/2024,New York Times,2
a man suspected of holding 4 hostages for hours in a dutch nightclub has been arrested,3/30/2024,AP News,2
a man with a plan for san francisco,2/13/2024,Politico,2
a march to netanyahu’s office in support of hostages grew to thousands of people,11/18/2023,New York Times,2
a marks & spencer ad did not feature a burning palestinian flag,11/2/2023,AP News,2
a media freedom group accuses israel and hamas of war crimes and reports deaths of 34 journalists,11/2/2023,AP News,2
a member of netanyahu’s war cabinet who threatened to quit postpones a planned address,6/8/2024,New York Times,2
a member of the israeli war cabinet reports ‘preliminary signs’ of progress in a cease-fire deal,2/21/2024,New York Times,2
a midnight trip into northern gaza reveals a shattered warscape,11/19/2023,Washington Post,2
a missile strike from yemen’s houthi rebels sets a cargo ship on fire in gulf of aden,6/13/2024,AP News,2
"a mom, her girls and festival-goers: the captives hamas took to gaza",10/12/2023,Washington Post,2
"a month after hamas’s oct 7 assault on israel, victims’ remains are still being discovered",11/7/2023,New York Times,2
a mother and son's last conversation,11/9/2023,USATODAY,2
"a mother shielding her son, a 26-year-old attending a music festival and 2 brothers are among the americans killed in israel",10/19/2023,CNN,2
a mother’s call with her missing daughter: the last word she heard was ‘mommy’,10/12/2023,New York Times,2
"a music festival survivor fleeing the attack, a pair of hamas militants and a deadly decision",10/13/2023,AP News,2
"a nature lover, a young father: who were the 6 hostages found dead in gaza?",9/2/2024,Washington Post,2
a nazi-hunting couple’s audacious scheme to take down a top ss officer,3/17/2024,Washington Post,2
a new crisis may plunge libya back into chaos,9/13/2024,Washington Post,2
a new games feature,9/2/2024,New York Times,2
a new holocaust museum shows how three-quarters of dutch jews were deported and killed,3/5/2024,AP News,2
a new idea to save the hostages,2/22/2024,Politico,2
"a new military era for the us and kenya, kind of?",5/23/2024,Politico,2
a new report documents how easily children can access graphic images of the war,10/18/2023,New York Times,2
a new york city cultural venue pulled an event with an acclaimed writer who criticized israel,10/21/2023,New York Times,2
a new york county banned face masks in public disabled people are suing,8/27/2024,Washington Post,2
a nightmare for some dreamers,11/28/2023,Politico,2
a novel revisits the violence of the tiananmen square massacre,6/10/2024,Washington Post,2
a pain in the assets for russia,5/8/2024,Politico,2
"a pair of israeli airstrikes deep into northeastern lebanon kills at least two people, officials say",3/12/2024,AP News,2
"a palestinian activist, ahed tamimi, faces indefinite detention",11/27/2023,New York Times,2
a palestinian converted to judaism an israeli soldier saw him as a threat and opened fire,5/16/2024,AP News,2
a palestinian family hopes that the hostage deal means their own loved ones will come home,11/22/2023,New York Times,2
a palestinian is killed as israeli settlers rampage in his village and troops fire on stone-throwers,4/14/2024,AP News,2
a palestinian is killed while with a group waving a white flag israel says it will look into it,1/30/2024,AP News,2
a palestinian man vanished oct 7 his family wants to know who killed him,1/5/2024,New York Times,2
"a palestinian man, who was a driver near the rave, is thought to be held hostage in gaza",10/17/2023,New York Times,2
a palestinian posted a message on oct 7 then came the death threats,2/2/2024,Washington Post,2
a palestinian professor spoke out against the gaza war israel detained her,6/12/2024,New York Times,2
a passover shrouded in grief as israelis remember hostages,4/23/2024,Washington Post,2
a pause by any other name,11/7/2023,Politico,2
"a pesar de su creciente impopularidad, las probabilidades de que netanyahu deje el cargo son mínimas",12/5/2023,New York Times,2
a pioneering new york rabbi says goodbye to her lgbtq congregation,7/13/2024,New York Times,2
a pittsburgh congressional race could test democrats who have criticized israel’s handling of war,4/14/2024,AP News,2
a plan for peace,6/3/2024,USATODAY,2
a policeman in egypt killed 2 israelis and 1 egyptian at a tourist site in alexandria,10/8/2023,AP News,2
a polling risk for trump,5/24/2024,New York Times,2
a popular israeli minister’s meeting in london sends a message to netanyahu,3/7/2024,New York Times,2
a pro-palestinian encampment at mcgill university in downtown montreal is being dismantled,7/11/2024,AP News,2
a prosecutor is alleging israeli officials have used starvation as a weapon of war here’s what the charge entails,5/20/2024,New York Times,2
a prosecutor says a foreign link is possible to the dozens of stars of david stenciled around paris,11/7/2023,AP News,2
a q & a about latino republicans,4/30/2024,New York Times,2
a q & a with candidates in maryland’s high-stakes democratic senate primary,5/10/2024,Washington Post,2
a quick look at hamas,10/8/2023,New York Times,2
a quiet campus,11/2/2023,Politico,2
a rabbi protested the war in gaza her activism came at a high price,9/13/2024,Washington Post,2
a race centered on israel,10/31/2023,Politico,2
a ragtag resistance sees the tide turning in a forgotten war,4/20/2024,New York Times,2
a ramadan cease-fire in gaza? what to know about the holy month,3/7/2024,Washington Post,2
a ramadan of ‘sadness’ as war-weary gazans go hungry,3/12/2024,Washington Post,2
a re-established west bank settlement symbolizes hardened israeli views,2/25/2024,New York Times,2
a relative of israeli hostages has a message for the un,10/25/2023,New York Times,2
a released prisoner returns to gaza to find his home destroyed,12/1/2023,New York Times,2
a remarkable comeback,7/8/2024,New York Times,2
a revised indictment against trump,8/27/2024,New York Times,2
a right-wing tale of michigan election fraud had it all – except proof,1/3/2024,Washington Post,2
a rikers detainee made a daring escape the getaway car? a city bus,6/27/2024,New York Times,2
a romance bookstore boom,7/7/2024,New York Times,2
a room without a view,1/25/2024,Politico,2
a second attempted assassination of donald trump,9/16/2024,New York Times,2
a senior israeli official said that the war would last at least through the end of the year,5/29/2024,New York Times,2
